Gene name	Ikaros/Control_0h	Ikaros/Control_2h	Ikaros/Control_6h	Ikaros/Control_12h	Ikaros/Control_18h	Ikaros/Control_24h
ENSMUSG00000020982	-0.0646565313925	0.00374792014306	0.0101536318726	0.0182236691362	-0.00822143828901	0.0130185628155
ENSMUSG00000020988	0.127435988388	0.0551049341167	0.0305686133022	-0.0290384505044	-0.00430401339584	-0.0121241494579
ENSMUSG00000033685	0.146137450827	-0.0547569023922	-0.0363924147332	-0.101018142396	-0.0517734515913	-0.084875174343
ENSMUSG00000024535	-0.154390546719	0.1142782325	-0.112494890209	0.00226066972012	-0.0625591067643	-0.0462440990309
ENSMUSG00000079737	0.00106656440833	0.0276828514832	0.0629996546792	0.0416604289532	0.00838695645343	0.042831040147
ENSMUSG00000065999	0.0947306404994	-0.0895867994755	0.163152812256	0.197596446472	0.16424620825	0.169486268604
ENSMUSG00000055210	0.136036377648	-0.00679973643823	-0.044267827539	-0.00676985194113	0.0117644022691	-0.00513398477776
ENSMUSG00000079733	0.0291041591973	-0.0210178557757	0.109267272263	-0.0432782661347	0.0433712848079	-0.0338311151339
ENSMUSG00000024539	0.292686137011	0.0858648544489	0.134557510144	-0.0201515852338	0.078884325663	0.0368174016102
ENSMUSG00000023328	0.0902253594197	0.0239353287312	0.0574352199785	-0.000396827581033	0.0595487639035	0.0147130428789
ENSMUSG00000086193	-0.124338200253	-0.0489935347334	0.128867095832	0.431598468125	0.042987965808	0.308355705885
ENSMUSG00000086191	0.205941844059	-0.032584375943	0.0975774815544	-0.0573571231886	-0.0215558769864	-0.0305362097621
ENSMUSG00000079033	0.0117815878768	-0.0455215376124	-0.0218356649168	-0.0741934934071	-0.0697723420034	-0.0710750544067
ENSMUSG00000026200	0.0878434137483	-0.0050784763468	0.00397531084698	-0.0175689389699	0.00618622153874	-0.00448751390803
ENSMUSG00000071713	-0.0847896351084	-0.0347887804375	-0.0951766323457	-0.104770001202	-0.124068462976	-0.130588249968
ENSMUSG00000026202	0.0519911841116	-0.0188133177031	-0.113998376746	-0.141436264767	-0.0919103138693	-0.167040775164
ENSMUSG00000026203	0.0753417366137	0.0012024216227	0.0357025610368	-0.0806633538792	-0.0252919381896	-0.0530136709862
ENSMUSG00000026204	0.060366334297	-0.0313349005529	0.0493428813901	-0.068466195018	0.00527445138521	-0.0485375395446
ENSMUSG00000026755	0.16373010083	0.0541176405834	0.0921140238502	0.00697463777221	0.04602016989	0.03957984073
ENSMUSG00000054920	0.0636222502023	-0.0261122673679	0.0842913279165	-0.0468420840665	-0.0347382496488	-0.039736901681
ENSMUSG00000097177	0.154515444336	0.020178822569	-0.00168194102689	-0.0288391113939	-0.0340520921169	-0.0461025399141
ENSMUSG00000097174	0.274047205013	0.0373446579029	0.0896377391679	-0.039744395974	0.0251905872553	0.0103076636586
ENSMUSG00000059213	0.053572742406	-0.0109021943139	0.0517508285881	-0.00208408680966	0.0365913841469	0.000674583585946
ENSMUSG00000056749	0.196736672286	0.334992935741	0.113288415458	0.225849957325	0.192070862603	0.26160429819
ENSMUSG00000073409	-0.105829323202	-0.107636290975	-0.12330627945	-0.158376336059	-0.0886094005059	-0.158469722014
ENSMUSG00000041343	0.119607629681	0.0292439858968	0.0644350282985	0.0490032753478	0.00967419571981	0.0580565124604
ENSMUSG00000031938	0.132184465662	0.0188870317649	0.100087184967	-0.0179231547818	-0.0026359745572	0.00161100071677
ENSMUSG00000041341	0.166689470914	-0.0421534424798	-0.0208399040239	-0.0656896791918	0.0365515419548	-0.02777490603
ENSMUSG00000041346	0.199537855931	-0.0664544279588	-0.0264690488853	-0.0990609327261	-0.0353964901159	-0.0780540262696
ENSMUSG00000041836	-0.0749608582189	0.00746644365616	0.0538862762003	0.0363649985375	0.0932716901639	0.0531212451525
ENSMUSG00000031930	0.124156467886	0.034070005738	0.0332157701543	-0.0337036856268	0.0243755328403	-0.00677798906126
ENSMUSG00000031935	0.0747607501526	0.00403642112397	-0.00510346304787	0.0162062286649	0.0156307915682	0.0214938906337
ENSMUSG00000038658	0.0509083628132	0.0144928545172	0.0875997977822	0.101513604094	0.0484911286759	0.0843618858691
ENSMUSG00000003531	0.0684044186133	-0.00423443866459	0.0355728786336	-0.0690868793727	-0.00715414810297	-0.0546043984587
ENSMUSG00000062075	0.0768012643252	0.0584025123801	0.0619572043674	0.0366281727504	0.0653010261365	0.0506353583089
