Prot_name	Ikaros/Control_0h	Ikaros/Control_2h	Ikaros/Control_6h	Ikaros/Control_12h	Ikaros/Control_18h	Ikaros/Control_24h
Ppan	-0.0106870417208943	-0.0319089335403831	0.00423445987504952	-0.0236591038996316	-0.0827900274091646	0.00166402634981512
Manf	0.0413400780044829	-0.134315209859241	0.0423960780654805	0.00825279913020448	-0.104663056016744	-0.0261455433549544
Srsf9	0.0060948410268821	-0.0272919975217845	-0.0206965413576551	-0.20735850553502	0.0430940308709647	-0.189157125410815
Spock2	0.0395149250475544	-0.185191498971775	-0.000271717059826695	-0.126769410736783	0.0423154937568994	0.0349634823058739
Sart1	-0.00663369629915221	0.0925484733647601	-0.0581843640779612	-0.10107214151657	0.0440371463179711	-0.0287092801313751
Hk2	0.0307117127042834	-0.0570808476172268	0.00819858168149254	-0.102465343210555	0.045814668151272	-0.0683938802105274
Lyn	-0.079645126539541	-0.00315848043211036	-0.0538973958451329	-0.0427639709461605	0.166478021358112	0.00544938010038569
Polr2c	-0.0269453327028954	-0.00406442336462827	-0.0664461233738705	-0.063011246507619	0.0520441313380457	-0.0807629178597881
Xpo1	-0.0114971368615744	-0.0948337467976628	-0.00355683648789405	0.100394231008954	-0.119642956421736	-0.025305162770256
Ubap2l	0.103655742703902	0.028514700284233	0.0100951461824465	0.064762318422916	0.0718506829320379	-0.0259979548226145
Dlat	-0.0230557251592943	-0.0266950636826326	0.00637588228506982	0.0625767745503389	-0.141549627136939	-0.000566061036097044
Copa	-0.0909498196962853	0.044611035870307	-0.00413774243745173	0.0621486476096216	0.123567124915416	0.0329533413014847
Glod4	0.128732875868302	0.139313903827147	-0.0390343838674468	-0.00749435840515906	0.0961658037692325	-0.0875532503324564
Nudcd2	-0.0135256315055214	0.00408155057583305	-0.0182043375173509	-0.0964156049206259	-0.015920460046643	-0.111639929473984
Ilf2	0.0091027249418007	0.0592071479473621	0.015681495360389	0.199171543173119	-0.16512238673665	0.000640921622054417
Tecr	0.019093958489378	0.107571086154759	-0.0825835636189356	0.0232937080620566	-0.039115787374716	0.0653368451964184
Rrs1	0.0824662991890774	0.0512269283144166	0.0420728871061617	0.0208428672764003	0.156524736327017	-0.149704744300869
Spcs2	0.0450121919983463	-0.00658419307936715	-0.00372926835102945	-0.0538963261433546	0.0435688990623774	0.0301340744527811
