Gene	I/C_0h	I/C_12h	I/C_18h	I/C_24h	I/C_2h	I/C_6h
ENSMUSG00000001999	0.243643446	0.766410014	1.031902571	0.995317693	-0.236157684	-0.661821817
ENSMUSG00000002006	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000002007	-0.365629517	-1.572132713	-2.506255227	-3.294623602	-0.595488873	-0.99902736
ENSMUSG00000002010	0.08842305	-0.400854587	-0.787935747	-1.0975919	0.179013893	0.352343133
ENSMUSG00000002014	-0.223508992	0.283311456	-0.331679068	-1.877501317	0.514520678	0.14901162
ENSMUSG00000002015	-0.136354506	-1.114090468	-2.074662979	-2.014996851	-0.50457517	-0.592871519
ENSMUSG00000002017	1.529470068	2.169401353	2.549166379	3.464452818	1.797928033	1.710856394
ENSMUSG00000002020	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000002031	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000002043	0.33448553	1.088476012	1.309414027	1.714011731	0.45052324	0.695769494
ENSMUSG00000002052	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000002055	-0.217935268	-0.527816339	-0.795229282	-1.668590644	-0.175238357	-0.320627857
ENSMUSG00000002058	0.243643446	0.766410014	1.031902571	0.995317693	-0.236157684	-0.661821817
ENSMUSG00000002064	-0.136354506	-1.114090468	-2.074662979	-2.014996851	-0.50457517	-0.592871519
ENSMUSG00000002068	-0.418882123	-2.143709427	-1.918917389	-1.872934169	-0.835861837	-1.103376866
ENSMUSG00000002083	1.618230822	1.20861923	0.946861965	-0.004889363	2.292638783	1.156766171
ENSMUSG00000002100	-0.191635154	0.400892511	-0.64455408	-1.339880364	-0.084543089	-0.155512109
ENSMUSG00000002102	-0.50046328	0.089825228	0.735396272	1.267300698	-0.339902715	-0.462781925
ENSMUSG00000002103	-0.191635154	0.400892511	-0.64455408	-1.339880364	-0.084543089	-0.155512109
ENSMUSG00000002104	-0.125671436	1.604375893	0.352075059	0.841003723	0.318098715	0.284063204
ENSMUSG00000002105	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000002107	1.419935818	2.61970334	2.49900532	3.267193503	1.905907437	1.55583365
ENSMUSG00000002109	-0.989669744	-0.076212742	-0.371697356	-1.606081066	-0.532060272	-0.149652516
